betageneId,fatherID,motherID,sex,familyNum
B3591,,,2,329
B3591,,,2,329
B3610,,,2,330
B3633,,,2,331
B3651,,,2,332
B3677,,,2,333
B3702,,,2,334
B3719,,,2,335
B3753,,,2,337
B3772,,,2,338
B3772,,,2,338
B3789,,,2,339
B3808,,,2,340
B3823,,,2,341
B3874,,,2,343
B3906,,,2,345
B3942,,,2,347
B3959,,,2,348
B3993,,,2,350
B4010,,,2,351
B4026,,,2,352
B4046,,,2,353
B4095,,,2,354
B4117,,,2,355
B4148,,,2,356
B4201,,,2,357
B4232,,,2,359
B4260,,,2,360
B4278,,,2,361
B4294,,,2,362
B4329,,,2,364
B4352,,,2,365
B4362,,,2,366
B4393,,,2,368
B4430,,,2,370
B4466,,,2,371
B4486,,,2,372
B4487,,,2,372
B4506,,,2,373
B4544,,,2,375
B4562,,,2,376
B4592,,,2,377
B4618,,,2,378
B4650,,,2,379
B4681,,,2,380
B4701,,,2,381
B4728,,,2,382
B4743,,,2,383
B4760,,,2,384
B4794,,,2,386
B4814,,,2,387
B4814,,,2,387
B4826,,,2,388
B4837,,,2,389
B4850,,,2,391
B4867,,,2,392
B4889,,,2,393
B4903,,,2,394
B4917,,,2,395
B4939,,,2,396
B4954,,,2,397
B4955,,,2,397
B4974,,,2,398
B5010,,,2,399
B5048,,,2,401
B5067,,,2,403
B5084,,,2,404
B5103,,,2,405
B5117,,,2,406
B5143,,,2,407
B5159,,,2,408
B5159,,,2,408
B5188,,,2,409
B5188,,,2,409
B5207,,,2,410
B5221,,,2,411
B5238,,,2,412
B5262,,,2,413
B5282,,,2,414
B5299,,,2,415
B5316,,,2,416
B5338,,,2,417
B5364,,,2,419
B5380,,,2,420
B5401,,,2,421
B5401,,,2,421
B5425,,,2,422
B5446,,,2,423
B5459,,,2,424
B5472,,,2,425
B5500,,,2,426
B5527,,,2,427
B5544,,,2,428
B5580,,,2,430
B5594,,,2,431
B5594,,,2,431
B5624,,,2,433
B5643,,,2,434
B5654,,,2,435
B5666,,,2,436
B5687,,,2,437
B5707,,,2,438
B5724,,,2,439
B5724,,,2,439
B5741,,,2,440
B5791,,,2,442
B5806,,,2,443
B5824,,,2,444
B5846,,,2,445
B5868,,,2,446
B5888,,,2,447
B5906,,,2,448
B5923,,,2,449
B5945,,,2,450
B5957,,,2,451
B5970,,,2,452
B5998,,,2,453
B6011,,,2,454
B6028,,,2,455
B6028,,,2,455
B6058,,,2,801
B6084,,,2,457
